…之…	非常
独丁丁儿	独生子
独苗苗	独生子
独根根儿	独生子
笃实	笃实
读书	上学
读书人	知识分子
读望天书	学习
肚子	胃
肚肚	胃
堵	档子
赌	赌博
赌气	生闷气
赌客	赌徒
赌场	赌场
杜鹃(花)	花朵
肚子	腹部
肚皮大了	怀孕
肚皮过	拉肚子
肚皮痛	腹痛
肚子痛	腹痛
肚皮空了	饥饿
肚脐儿	肚脐
肚脐眼儿	肚脐
肚腑	下水
肚囊皮	肚皮
渡口	渡口
渡船	船
凸	凸
秃宝盖	偏旁
秃顶	秃顶
徒弟(娃儿)	徒弟
涂了	打勾
土	旱地
土字旁	偏旁
土地庙(庙儿)	土地庙
土巴	土块
土巴碗	碗
土坯(子)	青砖
土蜞蚂儿	青蛙
土匪	土匪
土操哥	流氓
土狗儿	狗
兔儿	兔子
六	数目字
六子冲	象棋
六十	数目字
六十一	数目字
六腊之战	面试
六腊战争	面试
六月(初)六	春节
律师	律师
绿眉绿眼	横眉怒目
绿壳壳鸭蛋	鸭蛋
绿豆(儿)	绿豆
绿(颜)色	紫色
绿苍蝇儿	苍蝇
芦草	芦苇
炉(子)	炉子
驴子	驴子
驴骡	驴骡
努嘴(儿)	努嘴
卤水	卤水
橹	橹
路	道路
路西	路边
路北	路边
路费	路费
路条	凭证
路南	路边
路边边上	路边
路上	路边
路东	路边
露(水)	露水
露衣裳	晾衣服
鹭鸶	鸟
朱红色	紫色
租子	地租
租房子	租佃
猪屎(粪)	粪便
猪鼻拱	猪蹄
猪蹄子	猪蹄
猪利子	猪蹄
猪儿帽(帽)	帽子
猪儿虫	毛毛虫
猪耳朵	猪蹄
猪大肠	肥肠
猪崽崽	猪仔
猪儿子	猪仔
(猪)腿子(肉)	猪肉
猪槽(槽)	猪圈
(猪)腰子	猪肉
(猪)板油	猪肉
猪肝(儿)	猪肉
猪肝色	紫色
猪圈	猪圈
猪肠子	猪肉
竹子	竹子
竹(子)叶(子)	竹叶
竹(子)叶叶	竹叶
竹(子)竿竿	竹竿
竹(字)头	偏旁
竹根亲	亲戚
祝寿	祝寿
祝土	鼻塞
嘱咐	嘱咐
主人家	主人
主张	主心骨
祖母	祖母
祖父	祖父
祖祖	祖父
煮饭	做饭
煮汤	煮饭
住九	回娘家
住房	住宅
住宅	住宅
炷	档子
炷头	柱子
做衣裳	做针线
做家祭	家祭
做作	做作
做过场	做作
做噩梦	做梦
做活路去了	工作
做活路的	工人
做百期	葬礼
做客	做客
做菜	做菜
做媒	说媒
做红	说媒
做道场	作法
做九不做十	过生日
做满月	宴席
做生	寿宴
做生意	经商
做生意的	商人
做汤	熬汤
做账	记账
